Flask	Experiment	Marker	Replicate	t0	t1	t2	t3
327	V_7_t1000 vs E	Amp	1	-0.180736164	0.470172395	0.429696605	0.222667401
328	V_8_t1000 vs E	Amp	1	NA	0.053981812	0.275222732	0.061053965
329	V_9_t1000 vs E	Amp	1	0.027772578	0.144243892	0.246672333	-0.21316257
330	V_10_t1000 vs E	Amp	1	-0.397940009	0.138949451	0.068185862	0.189056236
331	Y_1_t1000 vs E	Amp	1	-0.165940342	0.414973348	0.421603927	0.654672329
332	Y_2_t1000 vs E	Amp	1	NA	0.549429773	0.291045775	0.565257343
333	Y_3_t1000 vs E	Amp	1	-0.052178012	0.211351695	0.152090983	0.379368769
334	Y_4_t1000 vs E	Amp	1	NA	NA	NA	NA
335	Y_5_t1000 vs E	Amp	1	-0.219248176	0.176091259	0.226647632	0.258832316
336	Y_6_t1000 vs E	Amp	1	-0.562292864	0.297269847	-0.594234654	-1.138302698
337	Y_7_t1000 vs E	Amp	1	-0.02044116	0.253447736	0.427011457	0.348721986
338	Y_8_t1000 vs E	Amp	1	0.018098222	0.34018212	0.793391217	0.937852093
339	Y_9_t1000 vs E	Amp	1	-0.193246952	0.271066772	0.291342728	0.486461281
340	Y_10_t1000 vs E	Amp	1	-0.424733185	-0.595625881	-0.144833565	-0.477121255
341	P_1_t1000 vs E	Amp	1	NA	-0.057142886	-0.281551642	-0.168194778
342	P_2_t1000 vs E	Amp	1	-0.462397998	NA	-0.162727297	-0.114573221
343	P_3_t1000 vs E	Amp	1	0.004644905	-0.164509387	-0.137027236	-0.266950206
344	P_4_t1000 vs E	Amp	1	-0.112226771	0.141085373	-0.04830468	0.10720997
345	P_5_t1000 vs E	Amp	1	-0.022050141	-0.232207201	-0.237360916	-0.093904503
346	P_6_t1000 vs E	Amp	1	-0.064642835	0.16185082	0.089522079	0.04830468
347	P_7_t1000 vs E	Amp	1	-0.045757491	-0.032184683	-0.036212173	-0.104209252
348	P_8_t1000 vs E	Amp	1	-0.32369398	-0.103219487	-0.285235728	-0.178312719
349	P_9_t1000 vs E	Amp	1	-0.432094285	-0.243038049	-0.243038049	-0.230896879
350	P_10_t1000 vs E	Amp	1	-0.210110346	-0.007299239	-0.037788561	-0.083776998
351	A_1_t1000 vs E	Amp	1	-0.473892285	-0.397940009	-1.113943352	-0.929418926
352	A_2_t1000 vs E	Amp	1	-0.282226432	0.096910013	-0.164553346	-0.03687136
353	A_3_t1000 vs E	Amp	1	-0.678900022	-0.41278913	-0.649484641	-0.966141733
354	A_4_t1000 vs E	Amp	1	-0.24755415	-0.169751081	-0.33660615	-0.28254659
355	A_5_t1000 vs E	Amp	1	-0.194019656	-0.193396117	-0.588613268	-0.507084478
356	A_6_t1000 vs E	Amp	1	-0.136582718	-0.407485327	-0.579783597	-0.489355711
357	A_7_t1000 vs E	Amp	1	-0.370110915	-0.252725316	-0.191885526	-0.147319516
358	A_8_t1000 vs E	Amp	1	-0.304121073	-0.151267675	-0.511883361	-0.593942101
359	A_9_t1000 vs E	Amp	1	-0.069471765	-0.196294645	-0.306425028	-0.399784149
360	A_10_t1000 vs E	Amp	1	-0.651421606	-0.468521083	-0.502675359	-0.521138084
361	P_10_t1000 vs E	Kan	1	0.071494417	NA	0.227678293	0.038629402
