Flask	Experiment	Marker	Replicate	t0	t1	t2	t3
66	E_6_t1000 vs E	Amp	2	NA	-1.19449406	-0.448693843	-0.108894088
67	E_7_t1000 vs E	Amp	2	NA	-1.012845467	-1.155770703	-0.264883157
68	E_8_t1000 vs E	Amp	2	NA	-0.937600518	-0.425267735	0.157628944
69	E_9_t1000 vs E	Amp	2	NA	-2.233592222	-2.133508763	-1.684006608
70	E_10_t1000 vs E	Amp	2	NA	-1.281981514	-1.062618686	-0.715961858
71	S_1_t1000 vs S	Amp	2	NA	-1.414732296	-1.455287233	-0.634498453
72	S_2_t1000 vs S	Amp	2	NA	-0.903868212	-1.056052674	-0.965791376
73	S_3_t1000 vs S	Amp	2	NA	-1.597603455	-0.854990206	-0.201552919
74	S_4_t1000 vs S	Amp	2	NA	-1.039423417	-0.36772478	-0.338023827
75	S_5_t1000 vs S	Amp	2	NA	-2.111806826	-1.429114358	-1.087438988
76	S_6_t1000 vs S	Amp	2	NA	-1.126469243	-1.428853976	-0.916290732
77	S_7_t1000 vs S	Amp	2	NA	-1.498506352	-0.661894637	-0.569352963
78	S_8_t1000 vs S	Amp	2	NA	-1.569631662	-1.974081026	-1.564542593
79	S_9_t1000 vs S	Amp	2	NA	-1.93441577	-2.118443699	-1.691676011
80	S_10_t1000 vs S	Amp	2	NA	-1.609437912	-1.04891262	-1.052702587
81	V_1_t1000 vs V	Amp	2	NA	1.195004134	3.073850053	5.893024474
82	V_2_t1000 vs V	Amp	2	NA	0.968934465	2.546464543	4.339329855
83	V_3_t1000 vs V	Amp	2	NA	0.357939966	3.415382017	5.401501603
84	V_4_t1000 vs V	Amp	2	NA	0.413562318	2.143520398	4.242264692
85	V_5_t1000 vs V	Amp	2	NA	0.24387945	2.061423036	3.987907703
86	V_6_t1000 vs V	Amp	2	NA	1.977162693	4.924835304	7.077654316
87	V_7_t1000 vs V	Amp	2	NA	1.063696024	3.289080084	6.041061488
88	V_8_t1000 vs V	Amp	2	NA	0.480053965	2.547707551	5.171357739
89	V_9_t1000 vs V	Amp	2	NA	0.969900182	3.002376816	5.325932534
90	V_10_t1000 vs V	Amp	2	NA	0.467707417	1.720933417	3.822677905
91	Y_1_t1000 vs Y	Amp	2	NA	-1.015434782	-0.504556011	-0.235456812
92	Y_2_t1000 vs Y	Amp	2	NA	-1.365240952	-0.947613203	-0.463734016
93	Y_3_t1000 vs Y	Amp	2	NA	-2.060749409	-1.362946997	-1.623622547
94	Y_4_t1000 vs Y	Amp	2	NA	-2.155201588	-1.441745666	-1.402125826
95	Y_5_t1000 vs Y	Amp	2	NA	-1.623622547	-1.156069344	-1.188934927
96	Y_6_t1000 vs Y	Amp	2	NA	-2.724579503	-2.573013917	-2.079441542
97	Y_7_t1000 vs Y	Amp	2	NA	-1.270781474	-0.918819178	-0.710241614
98	Y_8_t1000 vs Y	Amp	2	NA	-1.016934258	-0.261758387	0.384411699
99	Y_9_t1000 vs Y	Amp	2	NA	-1.178654996	-0.959041899	-0.593063722
100	Y_10_t1000 vs Y	Amp	2	NA	-1.489478597	-1.05887196	-0.89885567
101	P_1_t1000 vs P	Amp	2	-2.548622464	7.210036151	10.25244045	12.69541924
102	P_2_t1000 vs P	Amp	2	-2.818912794	7.644919345	10.20246918	12.41456392
103	P_3_t1000 vs P	Amp	2	-2.472636557	5.952998266	8.350727977	9.645252681
104	P_4_t1000 vs P	Amp	2	-2.7783667	9.255950883	12.58621995	NA
105	P_5_t1000 vs P	Amp	2	-2.118892734	7.685667726	9.172802453	11.15276012
106	P_6_t1000 vs P	Amp	2	-2.200935157	7.43838353	11.04995586	13.07107008
107	P_7_t1000 vs P	Amp	2	-2.532956347	7.573873787	10.27181311	13.106234
108	P_8_t1000 vs P	Amp	2	-2.492341628	8.204437481	9.95854733	12.78921893
109	P_9_t1000 vs P	Amp	2	-3.077147665	7.013115795	9.273709986	12.68496522
110	P_10_t1000 vs P	Amp	2	-2.178875439	7.288352321	9.958639373	13.44734123
111	A_1_t1000 vs A	Amp	2	-2.653043572	-0.159630146	2.028148247	3.555348061
112	A_2_t1000 vs A	Amp	2	-2.315565804	2.218367014	6.802394763	9.848137457
113	A_3_t1000 vs A	Amp	2	-2.936041795	0.53698645	2.881128891	6.540572357
114	A_4_t1000 vs A	Amp	2	-2.132407077	1.452252329	4.527545024	7.537801753
115	A_5_t1000 vs A	Amp	2	-2.598235335	0.749236647	3.410903424	6.07002687
116	A_6_t1000 vs A	Amp	2	-2.383123955	1.109662125	4.011483799	7.835742051
117	A_7_t1000 vs A	Amp	2	-2.515120428	1.066351426	4.748876907	7.67167153
118	A_8_t1000 vs A	Amp	2	-2.733673306	0.775064303	4.206014247	6.692643899
119	A_9_t1000 vs A	Amp	2	-2.175148626	1.272056171	4.4727456	7.87102622
120	A_10_t1000 vs A	Amp	2	-2.863938501	0.775838896	4.105729884	7.224424888
121	E_1_t1000 vs E	Kan	1	NA	-0.870554723	-0.278516105	0.20714321
122	E_2_t1000 vs E	Kan	1	NA	-1.109481961	-0.21217452	-0.082691716
123	E_3_t1000 vs E	Kan	1	NA	-1.469471868	-1.38059634	-0.78845736
124	E_4_t1000 vs E	Kan	1	NA	-1.218571604	-0.835321669	-0.510825624
125	E_5_t1000 vs E	Kan	1	NA	-0.895564601	-0.90542106	-0.540955365
126	E_6_t1000 vs E	Kan	1	NA	-1.978041427	-1.399033387	-0.566088302
127	E_7_t1000 vs E	Kan	1	NA	-0.556810737	-0.639494467	-0.267595314
128	E_8_t1000 vs E	Kan	1	NA	-0.857035036	-0.310154928	0
129	E_9_t1000 vs E	Kan	1	NA	-1.358123484	-1.004926805	-1.092420318
130	E_10_t1000 vs E	Kan	1	NA	-1.304948722	-0.91927136	-0.537954291
131	S_1_t1000 vs S	Kan	1	NA	-1.255266099	-0.430245137	-0.508843463
132	S_2_t1000 vs S	Kan	1	NA	-0.670418929	-0.992552717	-0.383958903
133	S_3_t1000 vs S	Kan	1	NA	-1.264037045	-0.614894984	-0.212780764
134	S_4_t1000 vs S	Kan	1	NA	-0.698184975	-0.527162043	-0.205161049
135	S_5_t1000 vs S	Kan	1	NA	-1.485823956	-0.715288306	-0.532027831
136	S_6_t1000 vs S	Kan	1	NA	-1.283110125	-0.647337645	-1.128465252
137	S_7_t1000 vs S	Kan	1	NA	-0.976273436	-1.164425507	-0.761200644
138	S_8_t1000 vs S	Kan	1	NA	-2.519392826	-2.613216098	-2.114532861
139	S_9_t1000 vs S	Kan	1	NA	-2.047692843	-1.704748092	-1.602965398
140	S_10_t1000 vs S	Kan	1	NA	-1.33196001	-0.817199829	-0.878289614
141	V_1_t1000 vs V	Kan	1	NA	1.468986077	3.935739532	5.766059404
142	V_2_t1000 vs V	Kan	1	NA	1.083797203	2.999456673	4.238448164
143	V_3_t1000 vs V	Kan	1	NA	1.157928866	3.17805383	5.070533436
144	V_4_t1000 vs V	Kan	1	NA	0.304075882	2.733368009	4.145816285
145	V_5_t1000 vs V	Kan	1	NA	1.083574411	2.651537991	4.343367562
146	V_6_t1000 vs V	Kan	1	NA	1.202247178	3.701951536	5.829621522
147	V_7_t1000 vs V	Kan	1	NA	1.536234508	3.744670814	5.950079331
148	V_8_t1000 vs V	Kan	1	NA	0.608247737	3.413173573	4.844062094
149	V_9_t1000 vs V	Kan	1	NA	1.108227747	3.275317136	4.826331576
150	V_10_t1000 vs V	Kan	1	NA	0.737164066	2.819602687	4.440414953
151	Y_1_t1000 vs Y	Kan	1	NA	-0.669616683	-0.649184057	-0.061154423
152	Y_2_t1000 vs Y	Kan	1	NA	-0.762140052	-0.823200309	-0.785353374
153	Y_3_t1000 vs Y	Kan	1	NA	-1.261131218	-1.22945189	-1.090028545
