Flask	Experiment	Marker	Replicate	t0	t1	t2	t3	t4
7	BK2 vs BK1	Amp	1	1.929909808	1.683125628	0.433322063	0.657429098	0.032523192
8	BK2 vs BK1	Amp	2	2.038283469	1.62964062	1.119889687	0.434664263	0.020000667
9	BK2 vs BK1	Amp	3	1.991200908	1.552460478	0.999521386	0.278713402	0.161641352
19	BK2 vs BK1	Kan	1	2.47763389	1.46266734	0.891998039	0.318453731	-0.090151097
20	BK2 vs BK1	Kan	2	2.328337589	1.633154439	1.140161292	0.444380524	-0.069593292
21	BK2 vs BK1	Kan	3	1.977658847	1.40725949	0.929896384	0.425832411	0.192077732
