Name	Fitness	stderror	variance
1	0.044918726372992	0.00115014297630257	2.64565773187628e-06
61	0.0319116768099686	0.00343560370169062	2.36067455901406e-05
121	0.040552425512259	0.00231108702043331	1.06822464320306e-05
181	0.0341002433720171	0.00366225851794791	2.68242749045641e-05
E_1_t1000 vs E_allFlasks_averaged	0.0424460054201863	0.000777628805449129	1.81411967719272e-06
2	0.0648064065809648	0.000140012773669637	3.92071535813299e-08
62	0.0282078385875409	0.00555081625419435	6.16231221756563e-05
122	0.038636832875021	0.0166809661512785	0.000556509263480198
182	0.029824541853414	0.010395984584454	0.000216152990960412
E_2_t1000 vs E_allFlasks_averaged	0.0647749600784256	0.000114269222199148	3.91723654259944e-08
3	0.0297695979338629	0.0156355369154678	0.000488940029269914
63	0.0169510929019399	0.0208980524079724	0.000873457188892725
123	0.0256257242987936	0.0109333827067437	0.000239077714824244
183	0.0275187407399617	0.00594480042862573	7.06813042723774e-05
E_3_t1000 vs E_allFlasks_averaged	0.0268025477469159	0.00393558652509267	4.6466523889473e-05
4	0.0188864329940072	0.00975126227116704	0.000190174231762171
64	0.00927638983138342	0.0135212140004294	0.000365646456090818
124	0.026631596161325	0.00127642641707256	3.25852879640138e-06
184	0.0327584698980939	0.00671592840735624	9.02073887454689e-05
E_4_t1000 vs E_allFlasks_averaged	0.0265694078791842	0.00101123802189038	3.06780701075029e-06
5	0.0241005327217098	0.00044745497071883	4.00431901641979e-07
65	0.0120815513170705	0.012943361814056	0.000335061230099126
125	0.013343502096936	0.00813213705273128	0.00013226330608881
185	0.0435422807909708	0.00665835139647324	8.86672866378343e-05
E_5_t1000 vs E_allFlasks_averaged	0.0241410486962418	0.00036375950850105	3.96962940074776e-07
6	0.055358059723817	0.0115980389822459	0.000269029016467389
66	0.0408497693579973	0.00882034730024616	0.00015559705299392
126	0.0531300303870619	0.0055167743363263	6.0869598155897e-05
186	0.00977419173370187	0.0053699686429158	5.76731264517979e-05
E_6_t1000 vs E_allFlasks_averaged	0.0344016513532734	0.00275517885799352	2.27730316186034e-05
7	0.0341612169223813	0.00729368187547218	0.000106395590601183
67	0.0281448863670152	0.0224595502570479	0.00100886279549772
127	0.0108828146914558	0.00987579887238443	0.000195062806735579
187	0.025255222788874	0.0200544383544878	0.000804360995427907
E_7_t1000 vs E_allFlasks_averaged	0.0260243080017396	0.00445968260236132	5.96663067414128e-05
8	0.0363720172965083	0.00349882425112426	2.44835422805105e-05
68	0.0412121150246156	0.00153299842692899	4.70016835393351e-06
128	0.03224915664637	0.00514284710915745	5.28977527763382e-05
188	0.0137737288234565	0.0104714321417567	0.000219301782198832
E_8_t1000 vs E_allFlasks_averaged	0.0394354864089606	0.00109685046948496	3.6092428572281e-06
9	0.0198451046702248	0.000467507681612431	4.3712686473326e-07
69	0.0206802193749259	0.00759111020893152	0.000115249908408289
129	0.00999807786361078	0.00957398059623923	0.000183322208914331
189	0.0122394666858009	0.0140578785139784	0.000395247896627552
E_9_t1000 vs E_allFlasks_averaged	0.0198165883641354	0.000380335888076552	4.33966163276938e-07
10	0.0243529122061696	0.00461394540484885	4.25769843978516e-05
70	0.021298611823926	0.00276545815664004	1.52955176322538e-05
130	0.0288610412797785	9.47272286375767e-05	1.79464956907114e-08
190	0.00120355859934278	0.0157786527315816	0.000497931764047693
E_10_t1000 vs E_allFlasks_averaged	0.028849290273683	7.72814661040171e-05	1.7917275009559e-08
11	0.0113943975212033	0.00816958060101229	0.000133484094392873
71	0.0293592237968977	0.0187126652304768	0.000700327680055791
131	0.0280869503598222	0.0196311006842183	0.000770760228147833
191	0.0152229392255147	0.00412608733682266	3.40491934221767e-05
S_1_t1000 vs S_allFlasks_averaged	0.0154299218734434	0.00290180271425375	2.52613769773513e-05
12	0.0135129321640305	0.00755725831936416	0.000114224306611198
72	-0.00233009122380249	0.00526712653019623	5.54852437701939e-05
132	0.0107791325480855	0.0202200279554491	0.000817699061038289
192	-0.00905577909597106	0.0162367165476061	0.00052726192849461
S_2_t1000 vs S_allFlasks_averaged	0.00241877051642085	0.00333906763477075	3.34481180087206e-05
13	0.0329454616412193	0.0142254664210042	0.000404727789790236
73	0.0525316358498474	0.00193734497689701	7.50661111901612e-06
133	0.0395574592138954	0.00536667209617607	5.76023387757498e-05
193	0.0273294015273014	0.0154324208420202	0.00047631922609044
S_3_t1000 vs S_allFlasks_averaged	0.050426910784116	0.00146577842199122	6.44551914712518e-06
14	0.0286802477066351	0.00922252732771761	0.000170110020620996
74	0.0263927894420523	0.0139473795446905	0.000389058792327301
134	0.0185518737882524	0.00327999366059365	2.1516716827069e-05
194	0.00105396678524998	0.00086828966390268	1.50785388088046e-06
S_4_t1000 vs S_allFlasks_averaged	0.00250324663153936	0.000681304552323105	1.39252767904856e-06
15	0.0169187436918034	0.00152704139708105	4.66371085679851e-06
75	0.0385456807289328	0.00740858575594942	0.000109774285806513
135	0.035890155421634	0.0127585347533739	0.000325560418106097
195	0.0104498738032369	0.0121282547430069	0.000294189126222539
S_5_t1000 vs S_allFlasks_averaged	0.0179330702110469	0.00120385348472972	4.34778963808767e-06
16	0.0125386471531716	0.00293623713568284	1.7242977033926e-05
76	0.00790875453187403	0.0177047192344648	0.000626914166342457
136	0.00581909318108088	0.0242646193516281	0.00117754350455881
196	-0.0135503430806579	0.00485132286179749	4.7070667018798e-05
S_6_t1000 vs S_allFlasks_averaged	0.00559302961782463	0.00202009543164498	1.22423566588588e-05
17	0.0245917450774232	0.00874335286000217	0.000152892438469016
77	0.0349628800827304	0.0161648982983876	0.000522607873994431
137	0.00809292020540006	0.0128476453389719	0.000330123981512013
197	0.0313259457015816	0.00795735348849619	0.000126638949081765
S_7_t1000 vs S_allFlasks_averaged	0.0257808105906037	0.00414730847800661	5.16005028352364e-05
18	0.0315824480552333	0.0159130204242278	0.000506448438043782
78	0.000191495302375495	0.0176838593540868	0.000625437763310244
138	0.0152343741885587	0.0128721853204108	0.000331386309846001
198	0.0370212853761876	0.00831071121121776	0.000138135841672521
S_8_t1000 vs S_allFlasks_averaged	0.0272333251795346	0.00490934668729779	7.23050546882453e-05
19	0.00892993787121871	0.00827540596469901	0.000136964687761152
79	0.00913399357490577	0.0132695156179604	0.000352160089470588
139	0.0167345376050005	0.00523923812279249	5.48992322146444e-05
199	0.0157501279770398	0.0507165655728508	0.00514434004701055
S_9_t1000 vs S_allFlasks_averaged	0.0139760226242984	0.00341691096138357	3.50258415540696e-05
20	0.0235105281538757	0.00767833778287374	0.000117913742215813
80	0.0209492540588419	0.012259731298553	0.000300602023025438
140	0.0170710496675946	0.0125103224462709	0.000313016335419337
200	0.0220312790221552	0.00522911678578284	5.46873247187117e-05
S_10_t1000 vs S_allFlasks_averaged	0.0218239697046603	0.00316443364470062	3.00409208751397e-05
21	0.196710197462043	0.0240088633967682	0.00115285104320935
81	0.176780630322437	0.0204286072067578	0.00083465598481599
141	0.161693495624327	0.0138264996250178	0.000382344183761235
201	0.151950889876837	0.0139695459429569	0.000390296427704768
V_1_t1000 vs V_allFlasks_averaged	0.164936273805387	0.00678385798731589	0.000138062187576209
22	0.101935529781984	0.0136283123603779	0.00037146179558406
82	0.1268237637047	0.00467815120333475	4.37701973625247e-05
142	0.118705570638901	0.0147005906159183	0.000432214728913648
202	0.105334551089031	0.0172901048560238	0.000597895451864593
V_2_t1000 vs V_allFlasks_averaged	0.122700967270925	0.00336004771955399	3.386976203304e-05
23	0.0998757700040614	0.0154024822058771	0.00047447291620472
83	0.189782917214642	0.0232744469435008	0.00108339976105167
143	0.147226417092747	0.0027730913981676	1.53800718051823e-05
