Name	Fitness	stderror	variance
1	0.000123759983995411	0.00595737429113674	7.0980616889394e-05
7	-0.00388561511005182	0.0164210279227079	0.000539300316076705
13	0.0129109351632292	0.00497526200465262	4.950646402988e-05
19	-0.00220192956308388	0.0169930945513072	0.000577530524859332
E vs E_allFlasks_averaged	0	0.0136621397265213	0.000186654061906991
2	-0.00489370857932682	0.0194594281727336	0.000757338689619559
8	-0.00248739636710293	0.0280575319178097	0.00157445019463782
14	-0.0048110404959947	0.00111573209087813	2.48971619723055e-06
20	-0.00887740801871353	0.00656261851283069	8.61359234898962e-05
S vs E_allFlasks_averaged	-0.00492144543052689	0.000895986864925897	2.40837738635921e-06
3	0.190101903488281	0.043068826812406	0.00370984768599404
9	0.197605931920854	0.0213251633049327	0.000909525179964098
15	0.186759369062281	0.0282891928154846	0.00160055686030333
21	0.182561636704668	0.0247194269579725	0.00122210013826108
V vs E_allFlasks_averaged	0.190099132352958	0.010887446170262	0.00035560945233106
4	0.0300711468031043	0.00478718392035075	4.58342597745296e-05
10	0.0315584040261535	0.000447763130088146	4.00983641332668e-07
16	0.0273955979050861	0.00269002837656887	1.44725053334915e-05
22	0.0229457482923931	0.00108790173569407	2.36706037305235e-06
Y vs E_allFlasks_averaged	0.0302420406826647	0.00033293147606354	3.32530103261542e-07
5	0.365244742318541	0.0207196265596398	0.000858605849541863
11	0.375749487729624	0.010448641848945	0.000218348232975048
17	0.325939357769357	0.00763346790477008	0.00011653966450631
23	0.350691576352287	0.00197973345391237	7.83868909707958e-06
P vs E_allFlasks_averaged	0.350122982743816	0.00153268104601396	7.04733356643131e-06
6	0.343319284693294	0.0256360682303513	0.00131441598862245
12	0.358904854768343	0.0118248412427617	0.000279653740833038
18	0.269260821911632	0.0407276126886231	0.00331747687062899
24	0.329917007387419	0.0159937673282996	0.000511601186703568
A vs E_allFlasks_averaged	0.344413097821825	0.00711060989168773	0.000151682319095302
